code,name
005930,삼성전자
000660,SK하이닉스
373220,LG에너지솔루션
207940,삼성바이오로직스
005380,현대차
006400,삼성SDI
051910,LG화학
035420,NAVER
000270,기아
028260,삼성물산
066570,LG전자
105560,KB금융
055550,신한지주
012330,현대모비스
096770,SK이노베이션
034730,SK
017670,SK텔레콤
086790,하나금융지주
018260,삼성에스디에스
010950,S-Oil
302440,SK바이오사이언스
003550,LG
030200,KT
009150,삼성전기
032830,삼성생명
000810,삼성화재
011200,HMM
011170,롯데케미칼
097950,CJ제일제당
003490,대한항공
036460,한국가스공사
010140,삼성중공업
011790,SKC
042660,한화오션
009540,HD한국조선해양
042670,HD현대인프라코어
329180,HD현대중공업
267250,HD현대
078930,GS
015760,한국전력
000720,현대건설
035720,카카오
035180,웹젠
010130,고려아연
010120,LS ELECTRIC
138040,메리츠금융지주
180640,한진칼
271560,오리온
272210,한화시스템
282330,BGF리테일
